source_line,method,uri,route_name,surface,inventory_kind,review_status,action,middleware
,GET|HEAD,api/internal/deploy-center/status,,API,supporting flow,OPEN,App\Http\Controllers\Admin\DeployCenterExecutorController@status,api
,GET|HEAD,api/ping,,API,supporting flow,OPEN,Closure,api
,GET|HEAD,api/user,,API,supporting flow,OPEN,Closure,api | App\Http\Middleware\Authenticate:sanctum
238,GET|HEAD,admin,admin.,Admin,page candidate,OPEN,Closure,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware
241,GET|HEAD,admin/analytics,admin.analytics.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\AnalyticsController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:dashboard.view
242,GET|HEAD,admin/analytics/growth,admin.analytics.growth,Admin,page candidate,OPEN,App\Http\Controllers\Admin\AnalyticsController@growth,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:dashboard.view
243,GET|HEAD,admin/analytics/offers,admin.analytics.offers,Admin,page candidate,OPEN,App\Http\Controllers\Admin\AnalyticsController@offers,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:dashboard.view
244,GET|HEAD,admin/analytics/products/{product},admin.analytics.products.show,Admin,page candidate,OPEN,App\Http\Controllers\Admin\AnalyticsController@product,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:dashboard.view
317,GET|HEAD,admin/attributes,admin.attributes.index,Admin,page candidate,OPEN,App\Http\Livewire\Admin\Attribute\Index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
318,GET|HEAD,admin/attributes/{id}/values,admin.attributes.values,Admin,page candidate,OPEN,App\Http\Livewire\Admin\Attribute\Values,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
445,GET|HEAD,admin/branding,admin.settings.branding,Admin,page candidate,OPEN,App\Http\Controllers\Admin\SettingController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
306,GET|HEAD,admin/brands,admin.brands.index,Admin,page candidate,OPEN,App\Http\Livewire\Admin\Brand\Index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
298,GET|HEAD,admin/categories,admin.categories.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\CategoryController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
