domain,method,uri,name,action,middleware
,GET|HEAD,/,frontend.home,App\Http\Controllers\Frontend\FrontendController@index,web
,POST,_ignition/execute-solution,ignition.executeSolution,Spatie\LaravelIgnition\Http\Controllers\ExecuteSolutionController,Spatie\LaravelIgnition\Http\Middleware\RunnableSolutionsEnabled
,GET|HEAD,_ignition/health-check,ignition.healthCheck,Spatie\LaravelIgnition\Http\Controllers\HealthCheckController,Spatie\LaravelIgnition\Http\Middleware\RunnableSolutionsEnabled
,POST,_ignition/update-config,ignition.updateConfig,Spatie\LaravelIgnition\Http\Controllers\UpdateConfigController,Spatie\LaravelIgnition\Http\Middleware\RunnableSolutionsEnabled
,GET|HEAD,account,account.index,App\Http\Controllers\Frontend\AccountController@index,web | App\Http\Middleware\Authenticate
,GET|HEAD,account/addresses,account.addresses.index,App\Http\Controllers\Frontend\AddressBookController@index,web | App\Http\Middleware\Authenticate
,POST,account/addresses,account.addresses.store,App\Http\Controllers\Frontend\AddressBookController@store,web | App\Http\Middleware\Authenticate
,GET|HEAD,account/addresses/new,account.addresses.create,App\Http\Controllers\Frontend\AddressBookController@create,web | App\Http\Middleware\Authenticate
,DELETE,account/addresses/{address},account.addresses.destroy,App\Http\Controllers\Frontend\AddressBookController@destroy,web | App\Http\Middleware\Authenticate
,PATCH,account/addresses/{address},account.addresses.update,App\Http\Controllers\Frontend\AddressBookController@update,web | App\Http\Middleware\Authenticate
,GET|HEAD,account/addresses/{address}/edit,account.addresses.edit,App\Http\Controllers\Frontend\AddressBookController@edit,web | App\Http\Middleware\Authenticate
,PATCH,account/password,account.password.update,App\Http\Controllers\Frontend\AccountController@updatePassword,web | App\Http\Middleware\Authenticate
,PATCH,account/profile,account.profile.update,App\Http\Controllers\Frontend\AccountController@updateProfile,web | App\Http\Middleware\Authenticate
,GET|HEAD,admin,admin.,Closure,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware
,GET|HEAD,admin/analytics,admin.analytics.index,App\Http\Controllers\Admin\AnalyticsController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:dashboard.view
,GET|HEAD,admin/analytics/growth,admin.analytics.growth,App\Http\Controllers\Admin\AnalyticsController@growth,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:dashboard.view
,GET|HEAD,admin/analytics/offers,admin.analytics.offers,App\Http\Controllers\Admin\AnalyticsController@offers,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:dashboard.view
,GET|HEAD,admin/analytics/products/{product},admin.analytics.products.show,App\Http\Controllers\Admin\AnalyticsController@product,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:dashboard.view
,GET|HEAD,admin/attributes,admin.attributes.index,App\Http\Livewire\Admin\Attribute\Index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
,GET|HEAD,admin/attributes/{id}/values,admin.attributes.values,App\Http\Livewire\Admin\Attribute\Values,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
,GET|HEAD,admin/branding,admin.settings.branding,App\Http\Controllers\Admin\SettingController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,PUT,admin/branding,admin.settings.branding.update,App\Http\Controllers\Admin\SettingController@update,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,GET|HEAD,admin/brands,admin.brands.index,App\Http\Livewire\Admin\Brand\Index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
