source_line,method,declared_path_with_admin_prefix,route_name_from_source,surface,inventory_kind,review_status
65,GET,/ping,,Customer/Public,supporting flow,OPEN
82,GET,/locale/{locale},,Customer/Public,supporting flow,OPEN
134,GET,/,frontend.home,Customer/Public,page candidate,OPEN
135,GET,/search,frontend.search,Customer/Public,page candidate,OPEN
136,GET,/category/{id},category.products,Customer/Public,page candidate,OPEN
137,GET,/products/{product:slug},frontend.products.show,Customer/Public,page candidate,OPEN
138,GET,/contact,frontend.contact,Customer/Public,page candidate,OPEN
139,GET,/privacy-policy,frontend.privacy,Customer/Public,page candidate,OPEN
140,GET,/terms-and-conditions,frontend.terms,Customer/Public,page candidate,OPEN
141,GET,/refund-policy,frontend.refund,Customer/Public,page candidate,OPEN
142,GET,/shipping-policy,frontend.shipping,Customer/Public,page candidate,OPEN
144,GET,/cart,cart.index,Customer/Public,page candidate,OPEN
153,GET,/account,account.index,Customer/Public,page candidate,OPEN
156,GET,/account/addresses,account.addresses.index,Customer/Public,page candidate,OPEN
157,GET,/account/addresses/new,account.addresses.create,Customer/Public,page candidate,OPEN
159,GET,/account/addresses/{address}/edit,account.addresses.edit,Customer/Public,page candidate,OPEN
166,GET,/checkout,checkout.index,Customer/Public,page candidate,OPEN
169,GET,/orders,orders.index,Customer/Public,page candidate,OPEN
170,GET,/orders/{order},orders.show,Customer/Public,page candidate,OPEN
171,GET,/orders/{order}/receipt,orders.receipt,Customer/Public,page candidate,OPEN
174,GET,/order-success/{order},orders.success,Customer/Public,page candidate,OPEN
176,GET,/returns,returns.index,Customer/Public,page candidate,OPEN
177,GET,/orders/{order}/return,returns.create,Customer/Public,page candidate,OPEN
179,GET,/returns/{returnRequest},returns.show,Customer/Public,page candidate,OPEN
182,GET,/support,support.index,Customer/Public,page candidate,OPEN
183,GET,/support/new,support.create,Customer/Public,page candidate,OPEN
185,GET,/support/{supportCase},support.show,Customer/Public,page candidate,OPEN
188,GET,/notifications,notifications.index,Customer/Public,page candidate,OPEN
191,GET,/payments/paymob/{order}/redirect,payments.paymob.redirect,Customer/Public,supporting flow,OPEN
192,GET,/payments/paymob/{order}/result,payments.paymob.result,Customer/Public,page candidate,OPEN
197,GET,/home,home,Customer/Public,page candidate,OPEN
199,GET,/branding-media/{path},,Customer/Public,supporting flow,OPEN
238,GET,/admin,admin.,Admin,page candidate,OPEN
239,GET,/admin/dashboard,admin.dashboard,Admin,page candidate,OPEN
241,GET,/admin/analytics,admin.analytics.index,Admin,page candidate,OPEN
242,GET,/admin/analytics/growth,admin.analytics.growth,Admin,page candidate,OPEN
243,GET,/admin/analytics/offers,admin.analytics.offers,Admin,page candidate,OPEN
244,GET,/admin/analytics/products/{product},admin.analytics.products.show,Admin,page candidate,OPEN
247,GET,/admin/growth,admin.growth.index,Admin,page candidate,OPEN
248,GET,/admin/growth/content,admin.growth.content,Admin,page candidate,OPEN
249,GET,/admin/growth/operations,admin.growth.operations,Admin,page candidate,OPEN
250,GET,/admin/growth/insights,admin.growth.insights,Admin,page candidate,OPEN
259,GET,/admin/growth/campaigns/create,admin.growth.campaigns.create,Admin,page candidate,OPEN
261,GET,/admin/growth/campaigns/{campaign}/edit,admin.growth.campaigns.edit,Admin,page candidate,OPEN
267,GET,/admin/growth/rules/create,admin.growth.rules.create,Admin,page candidate,OPEN
269,GET,/admin/growth/rules/{rule}/edit,admin.growth.rules.edit,Admin,page candidate,OPEN
274,GET,/admin/growth/templates/create,admin.growth.templates.create,Admin,page candidate,OPEN
276,GET,/admin/growth/templates/{template}/edit,admin.growth.templates.edit,Admin,page candidate,OPEN
280,GET,/admin/growth/segments/create,admin.growth.segments.create,Admin,page candidate,OPEN
282,GET,/admin/growth/segments/{segment}/edit,admin.growth.segments.edit,Admin,page candidate,OPEN
286,GET,/admin/growth/experiments/create,admin.growth.experiments.create,Admin,page candidate,OPEN
288,GET,/admin/growth/experiments/{experiment}/edit,admin.growth.experiments.edit,Admin,page candidate,OPEN
298,GET,/admin/categories,admin.categories.index,Admin,page candidate,OPEN
299,GET,/admin/categories/create,admin.categories.create,Admin,page candidate,OPEN
301,GET,/admin/categories/{category}/edit,admin.categories.edit,Admin,page candidate,OPEN
306,GET,/admin/brands,admin.brands.index,Admin,page candidate,OPEN
309,GET,/admin/products,admin.products.index,Admin,page candidate,OPEN
310,GET,/admin/products/create,admin.products.create,Admin,page candidate,OPEN
312,GET,/admin/products/{product}/edit,admin.products.edit,Admin,page candidate,OPEN
317,GET,/admin/attributes,admin.attributes.index,Admin,page candidate,OPEN
318,GET,/admin/attributes/{id}/values,admin.attributes.values,Admin,page candidate,OPEN
322,GET,/admin/reviews,admin.reviews.index,Admin,page candidate,OPEN
328,GET,/admin/orders,admin.orders.index,Admin,page candidate,OPEN
329,GET,/admin/orders/{order},admin.orders.show,Admin,page candidate,OPEN
330,GET,/admin/orders/{order}/receipt,admin.orders.receipt,Admin,page candidate,OPEN
332,GET,/admin/returns,admin.returns.index,Admin,page candidate,OPEN
333,GET,/admin/returns/{returnRequest},admin.returns.show,Admin,page candidate,OPEN
349,GET,/admin/pos/shifts,admin.pos.shifts.index,Admin,page candidate,OPEN
353,GET,/admin/pos,admin.pos.index,Admin,page candidate,OPEN
354,GET,/admin/pos/lookups/products,admin.pos.lookups.products,Admin,supporting flow,OPEN
355,GET,/admin/pos/lookups/customers,admin.pos.lookups.customers,Admin,supporting flow,OPEN
373,GET,/admin/pos/sales/{order},admin.pos.sales.show,Admin,page candidate,OPEN
379,GET,/admin/customers,admin.customers.index,Admin,page candidate,OPEN
380,GET,/admin/customers/{user}/statement,admin.customers.statement,Admin,page candidate,OPEN
381,GET,/admin/customers/{user}/statement/print,admin.customers.statement.print,Admin,page candidate,OPEN
382,GET,/admin/customers/{user}/statement/export,admin.customers.statement.export,Admin,supporting flow,OPEN
383,GET,/admin/customers/{user},admin.customers.show,Admin,page candidate,OPEN
390,GET,/admin/suppliers,admin.suppliers.index,Admin,page candidate,OPEN
391,GET,/admin/suppliers/create,admin.suppliers.create,Admin,page candidate,OPEN
393,GET,/admin/suppliers/{supplier}/edit,admin.suppliers.edit,Admin,page candidate,OPEN
399,GET,/admin/purchases,admin.purchases.index,Admin,page candidate,OPEN
400,GET,/admin/purchases/create,admin.purchases.create,Admin,page candidate,OPEN
402,GET,/admin/purchases/{purchase},admin.purchases.show,Admin,page candidate,OPEN
403,GET,/admin/purchases/{purchase}/receiving,admin.purchases.receiving,Admin,page candidate,OPEN
410,GET,/admin/inventory,admin.inventory.index,Admin,page candidate,OPEN
411,GET,/admin/inventory/scan,admin.inventory.scan,Admin,page candidate,OPEN
412,GET,/admin/inventory/labels/{product},admin.inventory.labels,Admin,page candidate,OPEN
413,GET,/admin/inventory/adjust,admin.inventory.adjust,Admin,page candidate,OPEN
417,GET,/admin/cost-calculator,admin.cost-calculator.index,Admin,page candidate,OPEN
426,GET,/admin/promotions,admin.promotions.index,Admin,page candidate,OPEN
427,GET,/admin/promotions/create,admin.promotions.create,Admin,page candidate,OPEN
